도로명,색상,도로 길이,시작지점,종착지점,경유 행정구역,좌표데이터
"안주로","#7777aa","5456m","효빈광역시 안천구 백합동(상점동)","효빈광역시 안천구 이자3동(이자동)","효빈광역시 안천구 백합동(상점동) | 효빈광역시 안천구 이십기동(추자동) | 효빈광역시 안천구 이십기동 | 효빈광역시 안천구 이자3동(이자동) | 효빈광역시 안천구 악부동 | 효빈광역시 안천구 이자3동(탄자동)","[-30343,32584]; [-29712,34595]; [-29332,35840]; [-29319,37887]"
"아진로","#7777aa","2579m","효빈광역시 북구 채산동(곡진동)","효빈광역시 북구 채산동(아진동)","효빈광역시 북구 채산동(곡진동) | 효빈광역시 북구 채산동(평전동) | 효빈광역시 북구 채산동(아진동) | 효빈광역시 북구 채산동(아자동)","[-25240,29259]; [-26628,29253]; [-26962,29884]; [-27010,29914]; [-27416,29805]"
"이자로","#7777aa","13135m","효빈광역시 북구 채산동(아자동)","효빈광역시 탄성군 도변읍 조일리","효빈광역시 북구 채산동(아자동) | 효빈광역시 안천구 악부동(천본동) | 효빈광역시 안천구 악부동(광상동) | 효빈광역시 안천구 이십기동 | 효빈광역시 안천구 창건동 | 효빈광역시 탄성군 도변읍 잠재리 | 효빈광역시 탄성군 도변읍 조일리 | 효빈광역시 탄성군 도변읍 도변리 | 효빈광역시 안천구 악부동(군청동) | 효빈광역시 안천구 이십기동(리의동)","[-26295,30617]; [-26295,33916]; [-26313,35025]; [-26446,35510]; [-27022,35722]; [-28902,35692]; [-29290,35832]; [-30223,35832]; [-30611,35722]; [-32770,35692]; [-33346,35698]; [-33467,35353]; [-33552,35007]; [-33855,34692]; [-33934,34655]"
"어간로","#7777aa","10507m","효빈광역시 남구 항2동(항동2가)","효빈광역시 남구 항1동(항동1가)","효빈광역시 남구 항2동(항동2가) | 효빈광역시 남구 항2동(항동1가) | 효빈광역시 남구 어간1동(어간동) | 효빈광역시 남구 어간2동(어간동) | 효빈광역시 남구 항4동(항동1가) | 효빈광역시 남구 항1동(항동1가)","[-28778,2629]; [-28952,2818]; [-29040,3165]; [-29549,3762]; [-29751,3997]; [-29915,4309]; [-30010,4691]; [-30193,5221]; [-30396,5552]; [-30600,5887]; [-30796,6186]; [-31122,6673]; [-31316,7015]; [-31579,7783]; [-31641,8638]; [-31620,9821]; [-31628,10939]; [-31622,11909]; [-31624,12342]"
"동신로","#7777aa","1219m","효빈광역시 남구 월천동","효빈광역시 남구 월천동(박산동)","효빈광역시 남구 월천동 | 효빈광역시 남구 월천동(박산동)","[-31246,12734]; [-32465,12727]"
"오주로","#7777aa","4592m","효빈광역시 남구 항1동(항동1가)","효빈광역시 청엽구 입빈동(효빈동1가)","효빈광역시 남구 항1동(항동1가) | 효빈광역시 남구 월천동 | 효빈광역시 청엽구 입빈동(입동3가) | 효빈광역시 청엽구 입빈동(효빈동1가)","[-31758,12195]; [-31765,14939]; [-31761,15370]; [-31692,15935]; [-31361,16715]"
"청엽로","#7777aa","15721m","효빈광역시 청엽구 입빈동(효빈동1가)","효빈광역시 탄성군 도변읍 요우리","효빈광역시 청엽구 입빈동(효빈동1가) | 효빈광역시 청엽구 비마리동(사노동) | 효빈광역시 청엽구 청엽6동(청엽동) | 효빈광역시 청엽구 청엽1동(청엽동) | 효빈광역시 청엽구 우택동 | 효빈광역시 창전구 진백동 | 효빈광역시 창전구 진백동(시로동) | 효빈광역시 탄성군 흑택면 흑택리 | 효빈광역시 탄성군 흑택면 루비리 | 효빈광역시 탄성군 도변읍 요우리 | 효빈광역시 청엽구 동리동 | 효빈광역시 청엽구 청엽3동(청엽동)","[-31382,17787]; [-31350,21381]; [-31465,22213]; [-31660,22683]; [-31740,22902]; [-31744,23251]; [-31806,23386]; [-31887,23390]; [-31897,24877]; [-31893,26176]; [-31921,27851]; [-31893,28819]; [-31890,30382]; [-31925,32294]; [-31907,33178]; [-32082,33203]"
"입선로","#7777aa","3054m","효빈광역시 북구 진희동","효빈광역시 북구 천왕사동","효빈광역시 북구 진희동 | 효빈광역시 북구 청능동(입선동) | 효빈광역시 북구 천왕사동","[-23935,20878]; [-26375,20857]; [-26989,20878]"
"청능도매시장로","#7777aa","1951m","효빈광역시 북구 청능동","효빈광역시 북구 청능동(입희동)","효빈광역시 북구 청능동 | 효빈광역시 북구 청능동(입희동) | 효빈광역시 북구 청능동(입선동)","[-26174,19832]; [-26170,21783]"
"고화로","#7777aa","1605m","효빈광역시 북구 고송7동(고송동)","효빈광역시 북구 청능동","효빈광역시 북구 고송7동(고송동) | 효빈광역시 북구 청능동","[-23960,20034]; [-25565,20016]"
"이남로","#7777aa","3746m","효빈광역시 북구 진희동","효빈광역시 북구 천왕사동(해서동)","효빈광역시 북구 진희동 | 효빈광역시 북구 청능동(입선동) | 효빈광역시 북구 천왕사동(해서동) | 효빈광역시 북구 천왕사동","[-23961,20462]; [-25909,20462]; [-26235,20617]; [-27672,20629]"
"청능로","#7777aa","2385m","효빈광역시 고송6동(고송동)","효빈광역시 북구 소조동","효빈광역시 고송6동(고송동) | 효빈광역시 북구 소조동 | 효빈광역시 북구 고송8동(고송동)","[-23661,19189]; [-26046,19185]"
"북효빈로","#7777aa","1450m","효빈광역시 북구 청능동","효빈광역시 북구 사능2동(사능동2가)","효빈광역시 북구 청능동 | 효빈광역시 북구 사능2동(사능동2가) | 효빈광역시 북구 천왕사동","[-25792,19516]; [-27242,19532]"
"창선2로","#7777aa","3913m","효빈광역시 중구 중앙동(심동2가)","효빈광역시 청엽구 등동","효빈광역시 중구 중앙동(심동2가) | 효빈광역시 중구 중앙동(창선동2가) | 효빈광역시 중구 중앙동(원동1가) | 효빈광역시 중구 유내동(경동) | 효빈광역시 청엽구 등동 | 효빈광역시 중구 중앙동(창선동3가) | 효빈광역시 중구 중앙동(원동2가) | 효빈광역시 중구 중정동(오석동) | 효빈광역시 청엽구 입빈동(효빈동1가)","[-29903,15918]; [-30084,15969]; [-30447,16456]; [-30526,16999]; [-30599,17502]; [-30718,17808]; [-32450,17802]"
"내항남북로","#7777aa","4810m","효빈광역시 중구 내항동","효빈광역시 남구 월천동(포장동)","효빈광역시 중구 내항동 | 효빈광역시 중구 내항동(명일동) | 효빈광역시 남구 월천동(포장동) | 효빈광역시 남구 월천동(신흥동)","[-29371,13265]; [-30373,13271]; [-30571,13429]; [-34125,13390]"
"해안남북로","#7777aa","16580m","효빈광역시 남구 항2동(항동2가)","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 항2동(항동2가) | 효빈광역시 남구 항2동(항동1가) | 효빈광역시 남구 어간1동(어간동) | 효빈광역시 남구 어간2동(어간동) | 효빈광역시 남구 어간3동(어간동) | 효빈광역시 남구 평당3동(평당동) | 효빈광역시 남구 평당4동(평당동) | 효빈광역시 남구 곽산2동(곽산동)","[-28248,1255]; [-28448,1255]; [-28855,1758]; [-29377,2856]; [-29940,2837]; [-30316,3341]; [-30486,3801]; [-30510,4038]; [-30789,4250]; [-31044,4596]; [-31311,4717]; [-31699,5172]; [-31657,6033]; [-32300,7051]; [-32482,7354]; [-32834,7591]; [-33089,8009]; [-33210,8197]; [-33422,8306]; [-34332,8288]; [-34787,7942]; [-34896,7870]; [-36104,7857]; [-36116,7445]; [-36783,7427]; [-36777,7184]; [-38706,7166]; [-38998,7191]; [-39022,6427]"
"평당대로","#7777aa","6780m","효빈광역시 남구 항4동(항동3가)","효빈광역시 남구 곽산1동(곽산동)","효빈광역시 남구 항4동(항동3가) | 효빈광역시 남구 곽산1동(곽산동) | 효빈광역시 남구 평당5동(평당동)","[-31203,9881]; [-37983,9868]"
"곽산로","#7777aa","11242m","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 어간3동(운양동)","효빈광역시 남구 곽산2동(곽산동) | 효빈광역시 남구 곽산1동(곽산동) | 효빈광역시 남구 평당7동(평당동) | 효빈광역시 남구 어간3동(운양동) | 효빈광역시 남구 평당6동(평당동)","[-39034,6737]; [-39374,7292]; [-39566,7654]; [-40081,7620]; [-40087,8118]; [-39470,8084]; [-39300,8208]; [-38729,8208]; [-37942,9945]; [-37449,10691]; [-32482,10691]"
"당찬로","#7777aa","9618m","효빈광역시 청엽구 입빈동(입동1가)","효빈광역시 창전구 쌍엽1동(쌍엽동)","효빈광역시 청엽구 입빈동(입동1가) | 효빈광역시 청엽구 등동 | 효빈광역시 청엽구 마잡2동(마잡동) | 효빈광역시 청엽구 우전1동(우전동) | 효빈광역시 창전구 쌍엽2동(쌍엽동) | 효빈광역시 창전구 쌍엽1동(쌍엽동) | 효빈광역시 청엽구 마잡2동(서증동)","[-32474,15386]; [-33034,15402]; [-32970,20522]; [-32962,22336]; [-33466,22880]; [-33609,22976]; [-34818,22992]"
"창전로","#7777aa","12317m","효빈광역시 청엽구 마잡2동(헌이송동)","효빈광역시 탄성군 탄성읍 고무리","효빈광역시 청엽구 마잡2동(헌이송동) | 효빈광역시 창전구 쌍엽1동(쌍엽동) | 효빈광역시 창전구 광정동(보통동) | 효빈광역시 창전구 광정동(마시동) | 효빈광역시 탄성군 흑택면 고무리 | 효빈광역시 탄성군 흑택면 명현리 | 효빈광역시 탄성군 탄성읍 고무리 | 효빈광역시 창전구 동곡동 | 효빈광역시 창전구 창전2동(창전동)","[-34458,18112]; [-34450,23008]; [-34306,23224]; [-34330,26944]; [-35146,28064]; [-35203,28888]; [-35179,29432]; [-35251,29512]; [-35826,29560]"
"엽월대로","#7777aa","9094m","효빈광역시 청엽구 입빈동(입동1가)","효빈광역시 창전구 팔조동","효빈광역시 청엽구 입빈동(입동1가) | 효빈광역시 청엽구 등동 | 효빈광역시 청엽구 마잡2동(헌이송동) | 효빈광역시 창전구 동곡동(투자동) | 효빈광역시 창전구 팔조동 | 효빈광역시 창전구 동곡동","[-32489,15992]; [-32713,16024]; [-34058,17808]; [-34274,17832]; [-34843,19352]; [-35666,20968]; [-35874,21280]; [-36403,21808]; [-36555,22184]; [-36507,22616]; [-35874,22608]; [-35882,22992]"
"고성로","#7777aa","7691m","효빈광역시 남구 평당3동(평당동)","효빈광역시 중구 약맥동","효빈광역시 남구 평당3동(평당동) | 효빈광역시 남구 고당동(고간동) | 효빈광역시 남구 월천동(신흥동) | 효빈광역시 중구 약맥동 | 효빈광역시 남구 평당2동(평당동) | 효빈광역시 남구 월천동(박산동) | 효빈광역시 남구 월천동","[-33682,8264]; [-33698,11864]; [-32482,13912]; [-32265,14128]; [-31289,15136]"
"청엽북로","#7777aa","6817m","효빈광역시 청엽구 청엽2동(청엽동)","효빈광역시 안천구 뇌전동(상가동)","효빈광역시 청엽구 청엽2동(청엽동) | 효빈광역시 청엽구 청엽4동(청엽동) | 효빈광역시 청엽구 우택동 | 효빈광역시 안천구 뇌전동(상가동) | 효빈광역시 창전구 진백동","[-31491,23344]; [-30754,24168]; [-30682,24976]; [-30690,29320]; [-31050,29744]"
"문천로","#7777aa","6536m","효빈광역시 안천구 북택동","효빈광역시 창전구 창전4동(창전동)","효빈광역시 안천구 북택동 | 효빈광역시 창전구 광정동(생덕동) | 효빈광역시 창전구 창전4동(창전동) | 효빈광역시 창전구 진백동 | 효빈광역시 창전구 창전5동(창전동)","[-29289,26328]; [-34930,26336]; [-35547,25688]"
"창전구청로","#7777aa","993m","효빈광역시 창전구 창전4동(창전동)","효빈광역시 창전구 창전3동(창전동)","효빈광역시 창전구 창전4동(창전동) | 효빈광역시 창전구 창전3동(창전동)","[-35003,24984]; [-34426,25792]"
"구락로","#7777aa","13038m","효빈광역시 청엽구 마잡2동(헌이송동)","효빈광역시 탄성군 흑택면 흑택리","효빈광역시 청엽구 마잡2동(헌이송동) | 효빈광역시 창전구 쌍엽2동(쌍엽동) | 효빈광역시 창전구 광정동(보통동) | 효빈광역시 탄성군 흑택면 명현리 | 효빈광역시 탄성군 흑택면 흑택리 | 효빈광역시 청엽구 마잡2동(마잡동) | 효빈광역시 창전구 창전2동(창전동) | 효빈광역시 창전구 광정동(마시동)","[-34130,17760]; [-34050,22720]; [-34090,27224]; [-33746,28480]; [-33002,29072]; [-31682,29048]"
"노산로","#7777aa","3877m","효빈광역시 청엽구 비마리동(사노동)","효빈광역시 창전구 동곡동(투자동)","효빈광역시 청엽구 비마리동(사노동) | 효빈광역시 창전구 동곡동(투자동) | 효빈광역시 청엽구 마잡2동(서증동)","[-31714,20856]; [-31722,20864]; [-35588,20872]"
"외초로","#7777aa","1830m","효빈광역시 청엽구 청엽4동(청엽동)","효빈광역시 청엽구 청엽6동(청엽동)","효빈광역시 청엽구 청엽4동(청엽동) | 효빈광역시 청엽구(청엽동) | 효빈광역시 청엽구 청엽6동(청엽동) | 효빈광역시 청엽구 청엽5동(청엽동)","[-30977,23344]; [-31025,22296]; [-31362,21592]"
"송남로","#7777aa","2451m","효빈광역시 동구 사가당2동(사가당동)","효빈광역시 청엽구 우전1동(우전동)","효빈광역시 동구 사가당2동(사가당동) | 효빈광역시 청엽구 비마리동(사노동) | 효빈광역시 청엽구 청엽1동(청엽동) | 효빈광역시 청엽구 우전1동(우전동) | 효빈광역시 청엽구 청엽6동(청엽동)","[-30665,21344]; [-31394,21344]; [-32106,21576]; [-32810,22248]"
"구남로","#7777aa","2908m","효빈광역시 청엽구 청엽6동(청엽동)","효빈광역시 청엽구 청엽1동(청엽동)","효빈광역시 청엽구 청엽6동(청엽동) | 효빈광역시 청엽구 비마리동(사노동) | 효빈광역시 청엽구 청엽1동(청엽동)","[-31498,22248]; [-31674,20880]; [-32250,22296]"
"칠심중앙로","#7777aa","4015m","효빈광역시 청엽구 우전3동(우전동)","효빈광역시 창전구 진백동(시로동)","효빈광역시 청엽구 우전3동(우전동) | 효빈광역시 창전구 칠심2동(칠심동) | 효빈광역시 창전구 칠심3동(칠심동) | 효빈광역시 창전구 광정동 | 효빈광역시 창전구 진백동(시로동) | 효빈광역시 창전구 유류동","[-32690,23800]; [-32658,24216]; [-33051,25416]; [-33042,26112]; [-32898,26640]; [-32818,26920]; [-32738,27424]; [-32602,27680]"
"관서대로","#7777aa","2487m","효빈광역시 창전구 광정동(생덕동)","효빈광역시 창전구 진백동(시로동)","효빈광역시 창전구 광정동(생덕동) | 효빈광역시 창전구 광정동(보통동) | 효빈광역시 창전구 광정동 | 효빈광역시 창전구 진백동(시로동)","[-34915,26352]; [-34299,27048]; [-34035,27136]; [-33034,27096]; [-32802,26944]"
"우난로","#7777aa","5605m","효빈광역시 창전구 유류동","효빈광역시 안천구 뇌전동(상가동)","효빈광역시 창전구 유류동 | 효빈광역시 창전구 진백동(시로동) | 효빈광역시 탄성군 흑택면 흑택리 | 효빈광역시 안천구 뇌전동(상가동) | 효빈광역시 창전구 칠심3동(칠심동)","[-32770,24656]; [-32706,26832]; [-32418,27064]; [-31897,28336]; [-31657,29024]; [-31089,29792]"
"우개로","#7777aa","1243m","효빈광역시 동구 덕현5동(덕현동)","효빈광역시 동구 덕현6동(덕현동)","효빈광역시 동구 덕현5동(덕현동) | 효빈광역시 동구 덕현6동(덕현동)","[-29960,22864]; [-30312,24056]"
"우전석로","#7777aa","3197m","효빈광역시 창전구 동곡동","효빈광역시 청엽구 우전2동(우전동)","효빈광역시 창전구 동곡동 | 효빈광역시 창전구 쌍엽2동(쌍엽동) | 효빈광역시 청엽구 우전2동(우전동) | 효빈광역시 창전구 유류동","[-34042,21600]; [-33577,22768]; [-32713,23728]; [-32473,23584]; [-32200,23336]"
"쌍엽로","#7777aa","2516m","효빈광역시 창전구 쌍엽2동(쌍엽동)","효빈광역시 창전구 팔조동","효빈광역시 창전구 쌍엽2동(쌍엽동) | 효빈광역시 창전구 팔조동 | 효빈광역시 창전구 쌍엽1동(쌍엽동)","[-33481,22696]; [-33441,22624]; [-35875,22608]"
"팔삼로","#7777aa","3528m","효빈광역시 창전구 동곡동","효빈광역시 창전구 팔조동","효빈광역시 창전구 동곡동 | 효빈광역시 창전구 팔조동 | 효빈광역시 창전구 동곡동(투자동)","[-34426,20312]; [-35226,20296]; [-35218,23024]"
"팔조로","#7777aa","2353m","효빈광역시 창전구 팔조동","효빈광역시 창전구 쌍엽2동(쌍엽동)","효빈광역시 창전구 팔조동 | 효빈광역시 창전구 쌍엽2동(쌍엽동)","[-36435,21968]; [-34082,21960]"
"구한로","#7777aa","2531m","효빈광역시 창전구 동곡동(투자동)","효빈광역시 창전구 팔조동","효빈광역시 창전구 동곡동(투자동) | 효빈광역시 창전구 팔조동","[-35555,20920]; [-35547,22936]; [-35442,23440]"
"대도로","#7777aa","1290m","효빈광역시 창전구 팔조동","효빈광역시 창전구 팔조동","효빈광역시 창전구 팔조동","[-35889,21319]; [-35877,22609]"
"뇌전로","#7777aa","6542m","효빈광역시 동구 덕현5동(덕현동)","효빈광역시 안천구 뇌전동(하가동)","효빈광역시 동구 덕현5동(덕현동) | 효빈광역시 청엽구 우택동 | 효빈광역시 안천구 북택동(하구동) | 효빈광역시 안천구 뇌전동 | 효빈광역시 안천구 뇌전동(하가동) | 효빈광역시 동구 덕현11동(덕현동) | 효빈광역시 안천구 뇌전동(치장동)","[-29787,23342]; [-29775,25282]; [-29800,26877]; [-29333,28653]; [-29340,29823]"
"하마로","#7777aa","4974m","효빈광역시 안천구 뇌전동","효빈광역시 탄성군 흑택면 명현리","효빈광역시 안천구 뇌전동 | 효빈광역시 안천구 뇌전동(치장동) | 효빈광역시 탄성군 흑택면 명현리 | 효빈광역시 창전구 진백동(시로동)","[-29351,28483]; [-29327,28023]; [-33840,28041]"
"괴신로","#7777aa","2174m","효빈광역시 청엽구 마잡1동(마잡동)","효빈광역시 청엽구 마잡2동(헌이송동)","효빈광역시 청엽구 마잡1동(마잡동) | 효빈광역시 청엽구 마잡2동(헌이송동)","[-32438,18860]; [-34612,18849]"
"곽산동서1로","#7777aa","1002m","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 곽산1동(곽산동)","효빈광역시 남구 곽산2동(곽산동) | 효빈광역시 남구 곽산1동(곽산동)","[-38726,7191]; [-38717,8193]"
"곽산동서2로","#7777aa","1154m","효빈광역시 남구 곽산1동(곽산동)","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 곽산1동(곽산동) | 효빈광역시 남구 곽산2동(곽산동)","[-39200,8179]; [-39177,7025]"
"곽산남북1로","#7777aa","786m","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 곽산1동(곽산동)","효빈광역시 남구 곽산2동(곽산동) | 효빈광역시 남구 곽산1동(곽산동)","[-38745,7632]; [-39531,7627]"
"곽암로","#7777aa","2615m","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 곽산2동(곽산동)","[-36800,7430]; [-39415,7416]"
"곽산공단로","#7777aa","3294m","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 곽산1동(곽산동)","효빈광역시 남구 곽산2동(곽산동) | 효빈광역시 남구 곽산1동(곽산동)","[-37526,7228]; [-37517,10522]"
"평곡로","#7777aa","3162m","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 평당7동(평당동)","효빈광역시 남구 곽산2동(곽산동) | 효빈광역시 남구 평당7동(평당동)","[-36801,7462]; [-36796,10624]"
"회산로","#7777aa","1917m","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 곽산1동(곽산동)","효빈광역시 남구 곽산2동(곽산동) | 효빈광역시 남구 곽산1동(곽산동)","[-36776,8272]; [-38693,8276]"
"남당로","#7777aa","7828m","효빈광역시 남구 항4동(항동3가)","효빈광역시 남구 곽산1동(곽산동)","효빈광역시 남구 항4동(항동3가) | 효빈광역시 남구 곽산1동(곽산동) | 효빈광역시 남구(평당동)","[-30573,8964]; [-38401,8956]"
"평당동서1로","#7777aa","3244m","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 평당7동(평당동)","효빈광역시 남구 곽산2동(곽산동) | 효빈광역시 남구 평당7동(평당동)","[-36453,7408]; [-36437,10652]"
"문화로","#7777aa","3664m","효빈광역시 남구 평당4동(평당동)","효빈광역시 남구 평당6동(평당동)","효빈광역시 남구 평당4동(평당동) | 효빈광역시 남구 평당6동(평당동) | 효빈광역시 남구 평당7동(평당동)","[-35961,8504]; [-35997,12168]"
"기지로","#7777aa","1398m","효빈광역시 남구 평당4동(평당동)","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 평당4동(평당동) | 효빈광역시 남구 곽산2동(곽산동)","[-36129,7864]; [-37526,7816]"
"평당중앙로","#7777aa","3456m","효빈광역시 남구 평당4동(평당동)","효빈광역시 남구 평당6동(평당동)","효빈광역시 남구 평당4동(평당동) | 효빈광역시 남구 평당6동(평당동) | 효빈광역시 남구 평당5동(평당동)","[-35449,7872]; [-35445,11328]"
"고간로","#7777aa","3981m","효빈광역시 남구 어간3동(운양동)","효빈광역시 남구 평당7동(평당동)","효빈광역시 남구 어간3동(운양동) | 효빈광역시 남구 평당7동(평당동) | 효빈광역시 남구 평당6동(평당동)","[-32440,11344]; [-36421,11348]"
"평당중앙2로","#7777aa","3999m","효빈광역시 남구 평당4동(평당동)","효빈광역시 남구 평당6동(평당동)","효빈광역시 남구 평당4동(평당동) | 효빈광역시 남구 평당6동(평당동) | 효빈광역시 남구 평당7동(평당동)","[-36133,7892]; [-36125,11504]; [-36169,11888]"
"평당역로","#7777aa","5544m","효빈광역시 남구 평당4동(평당동)","효빈광역시 남구 평당7동(평당동)","효빈광역시 남구 평당4동(평당동) | 효빈광역시 남구 평당6동(평당동) | 효빈광역시 남구 평당7동(평당동) | 효빈광역시 남구 평당5동(평당동)","[-35113,7880]; [-35113,11488]; [-35173,11600]; [-35761,12188]; [-36054,12204]; [-36334,11580]"
"평당동서2로","#7777aa","4270m","효빈광역시 남구 평당4동(평당동)","효빈광역시 남구 평당6동(평당동)","효빈광역시 남구 평당4동(평당동) | 효빈광역시 남구 평당6동(평당동) | 효빈광역시 남구 평당7동(평당동)","[-35760,7880]; [-35755,11522]; [-35765,12150]"
"평당동서3로","#7777aa","3626m","효빈광역시 남구 평당4동(평당동)","효빈광역시 남구 평당6동(평당동)","효빈광역시 남구 평당4동(평당동) | 효빈광역시 남구 평당6동(평당동) | 효빈광역시 남구 평당5동(평당동)","[-34883,7901]; [-34857,11527]"
"이부로","#7777aa","3431m","효빈광역시 남구 평당3동(평당동)","효빈광역시 남구 평당6동(평당동)","효빈광역시 남구 평당3동(평당동) | 효빈광역시 남구 평당6동(평당동) | 효빈광역시 남구 평당5동(평당동)","[-34540,8086]; [-34561,11517]"
"남구청로","#7777aa","3236m","효빈광역시 남구 평당3동(평당동)","효빈광역시 남구 고당동(고간동)","효빈광역시 남구 평당3동(평당동) | 효빈광역시 남구 고당동(고간동) | 효빈광역시 남구 평당6동(평당동)","[-34108,8265]; [-34108,11501]"
"평당북로","#7777aa","6255m","효빈광역시 남구 어간3동(어간동)","효빈광역시 남구 월천동(신흥동)","효빈광역시 남구 어간3동(어간동) | 효빈광역시 남구 월천동(신흥동) | 효빈광역시 남구 고당동(고간동)","[-33232,8223]; [-33253,14478]"
"평당관통로","#7777aa","4070m","효빈광역시 남구 평당5동(평당동)","효빈광역시 남구 어간3동(운양동)","효빈광역시 남구 평당5동(평당동) | 효빈광역시 남구 평당3동(평당동) | 효빈광역시 남구 고당동(평당동) | 효빈광역시 남구 고당동(고간동) | 효빈광역시 남구 어간3동(운양동) | 효빈광역시 남구 평당2동(평당동)","[-34515,8830]; [-34346,9052]; [-34029,9374]; [-33881,9854]; [-33649,10287]; [-33342,11506]; [-32254,11527]"
"고당로","#7777aa","2478m","효빈광역시 남구 항1동(항동1가)","효빈광역시 남구 평당6동(평당동)","효빈광역시 남구 항1동(항동1가) | 효빈광역시 남구 고당동(고간동) | 효빈광역시 남구 평당6동(평당동)","[-32117,11812]; [-34229,11828]; [-34430,11522]"
"청련로","#7777aa","6445m","효빈광역시 남구 어간3동(어간동)","효빈광역시 남구 월천동(신흥동)","효빈광역시 남구 어간3동(어간동) | 효빈광역시 남구 월천동(신흥동) | 효빈광역시 남구 고당동(평당동)","[-32952,8112]; [-32984,13897]; [-33000,14557]"
"우포로","#7777aa","11309m","효빈광역시 남구 어간3동(어간동)","효빈광역시 청엽구 마잡1동(마잡동)","효빈광역시 남구 어간3동(어간동) | 효빈광역시 남구 월천동(박산동) | 효빈광역시 남구 월천동(신흥동) | 효빈광역시 청엽구 마잡1동(마잡동) | 효빈광역시 남구 평당1동(평당동) | 효빈광역시 청엽구 등동","[-32751,7563]; [-32773,12055]; [-32604,12535]; [-32630,15079]; [-32635,18843]"
"기아로","#7777aa","2581m","효빈광역시 남구 항1동(항동1가)","효빈광역시 남구 월천동(포장동)","효빈광역시 남구 항1동(항동1가) | 효빈광역시 남구 월천동(박산동) | 효빈광역시 남구 월천동(포장동) | 효빈광역시 남구 고당동(고간동)","[-31780,12187]; [-32477,12234]; [-32540,12509]; [-34140,12519]"
"운양로","#7777aa","5972m","효빈광역시 남구 어간2동(어간동)","효빈광역시 남구 항1동(항동1가)","효빈광역시 남구 어간2동(어간동) | 효빈광역시 남구 항1동(항동1가) | 효빈광역시 남구 항4동(항동1가)","[-31706,6133]; [-31685,7801]; [-31881,8123]; [-31902,10604]; [-31880,12050]"
"평당남북1로","#7777aa","5738m","효빈광역시 남구 항4동(항동3가)","효빈광역시 남구 평당7동(평당동)","효빈광역시 남구 항4동(항동3가) | 효빈광역시 남구 평당7동(평당동) | 효빈광역시 남구 어간3동(어간동)","[-30386,8540]; [-30375,8550]; [-36098,8513]"
"어간남북로","#7777aa","2997m","효빈광역시 남구 항4동(항동3가)","효빈광역시 남구 어간3동(어간동)","효빈광역시 남구 항4동(항동3가) | 효빈광역시 남구 어간3동(어간동) | 효빈광역시 남구 어간2동(어간동)","[-30259,8360]; [-30608,8091]; [-33164,8112]"
"엽월대병원로","#7777aa","5088m","효빈광역시 남구 항4동(항동3가)","효빈광역시 남구 어간1동(어간동)","효빈광역시 남구 항4동(항동3가) | 효빈광역시 남구 어간1동(어간동) | 효빈광역시 남구 어간2동(어간동)","[-31310,9833]; [-31332,4745]"
"어간항로","#7777aa","2488m","효빈광역시 남구 항3동(항동2가)","효빈광역시 남구 어간2동(어간동)","효빈광역시 남구 항3동(항동2가) | 효빈광역시 남구 어간2동(어간동) | 효빈광역시 남구 어간1동(어간동) | 효빈광역시 남구 항3동(항동1가)","[-29383,6756]; [-30180,6218]; [-30587,5975]; [-31638,6033]"
"충산로","#7777aa","1431m","효빈광역시 남구 항2동(항동2가)","효빈광역시 남구 항2동(항동1가)","효빈광역시 남구 항2동(항동2가) | 효빈광역시 남구 항2동(항동1가)","[-28909,3404]; [-30340,3373]"
"무개로","#7777aa","4725m","효빈광역시 남구 항2동(항동1가)","효빈광역시 남구 항3동(항동3가)","효빈광역시 남구 항2동(항동1가) | 효빈광역시 남구 항3동(항동1가) | 효빈광역시 남구 항3동(항동3가)","[-29495,2776]; [-29506,3774]; [-29643,4555]; [-29675,5711]; [-29886,6328]; [-29886,7453]"
"해양로","#7777aa","2499m","효빈광역시 남구 항3동(항동2가)","효빈광역시 남구 어간1동(어간동)","효빈광역시 남구 항3동(항동2가) | 효빈광역시 남구 항2동(항동1가) | 효빈광역시 남구 어간1동(어간동) | 효빈광역시 남구 항2동(항동2가)","[-29252,5347]; [-29590,5194]; [-31718,5204]"
"해앙로","#7777aa","1774m","효빈광역시 남구 항2동(항동2가)","효빈광역시 남구 항2동(항동2가)","효빈광역시 남구 항2동(항동2가)","[-28249,1309]; [-28265,2233]; [-28318,2317]; [-29068,2296]"
